,sentence1_condition,sentence2_condition,sentence1_2_predict
0,"INPUT : Please extract the part that corresponds to this condition ""The number of person","INPUT : Please extract the part that corresponds to this condition ""The number of person","On a scale between 1 and 5, how similar are the following two sentences with respect to the condition provided? Respond only with a score between 1 and 5.
INPUT>  Sentence 1:  A person standing on a sidewalk holding a sandwich that has carrots on it. Sentence 2:  A dish served containing pickles, tomatoes, and bread with a side of french fries. Condition:  The number of person. OUTPUT> Meaning of Sentence 1 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The number of person.
Meaning of Sentence 2 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The number of person.
Therefore, the similarity score (arabic numeral between 1 and 5) of two sentences is:  Sentence 1: 4  Sentence 2: 3"
,sentence1_condition,sentence2_condition,sentence1_2_predict
0,"INPUT : Please extract the part that corresponds to this condition ""The type of work","INPUT : Please extract the part that corresponds to this condition ""The type of work","On a scale between 1 and 5, how similar are the following two sentences with respect to the condition provided? Respond only with a score between 1 and 5.
INPUT>  Sentence 1:  A person standing on a sidewalk holding a sandwich that has carrots on it. Sentence 2:  A dish served containing pickles, tomatoes, and bread with a side of french fries. Condition:  The type of work. OUTPUT> Meaning of Sentence 1 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The type of work.
Meaning of Sentence 2 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The type of work.
Therefore, the similarity score (arabic numeral between 1 and 5) of two sentences is:  Sentence 1: 4  Sentence 2: 3"
,sentence1_condition,sentence2_condition,sentence1_2_predict
0,"INPUT : Please extract the part that corresponds to this condition ""The room's function","INPUT : Please extract the part that corresponds to this condition ""The room's function","On a scale between 1 and 5, how similar are the following two sentences with respect to the condition provided? Respond only with a score between 1 and 5.
INPUT>  Sentence 1:  This bathroom stall has toilet tissue on the floor while the toilet is raised. Sentence 2:  A full trashcan is beside the commode in a public restroom toilet that needs to be cleaned. Condition:  The room's function. OUTPUT> Meaning of Sentence 1 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The room's function.
Meaning of Sentence 2 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The room's function.
Therefore, the similarity score (arabic numeral between 1 and 5) of two sentences is:  Sentence 1: 4  Sentence 2: 3"
,sentence1_condition,sentence2_condition,sentence1_2_predict
0,"INPUT : Please extract the part that corresponds to this condition ""The location of trash","INPUT : Please extract the part that corresponds to this condition ""The location of trash","On a scale between 1 and 5, how similar are the following two sentences with respect to the condition provided? Respond only with a score between 1 and 5.
INPUT>  Sentence 1:  This bathroom stall has toilet tissue on the floor while the toilet is raised. Sentence 2:  A full trashcan is beside the commode in a public restroom toilet that needs to be cleaned. Condition:  The location of trash. OUTPUT> Meaning of Sentence 1 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The location of trash.
Meaning of Sentence 2 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The location of trash.
Therefore, the similarity score (arabic numeral between 1 and 5) of two sentences is:  Sentence 1: 4  Sentence 2: 5"
,sentence1_condition,sentence2_condition,sentence1_2_predict
0,"INPUT : Please extract the part that corresponds to this condition ""The people's demeanor","INPUT : Please extract the part that corresponds to this condition ""The people's demeanor","On a scale between 1 and 5, how similar are the following two sentences with respect to the condition provided? Respond only with a score between 1 and 5.
INPUT>  Sentence 1:  An older man holding a glass of wine while standing between two beautiful ladies. Sentence 2:  a group of people gather around a table with bottles and glasses of wine. Condition:  The people's demeanor. OUTPUT> Meaning of Sentence 1 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The people's demeanor.
Meaning of Sentence 2 in respect to condition: INPUT : Please extract the part that corresponds to this condition ""The people's demeanor.
Therefore, the similarity score (arabic numeral between 1 and 5) of two sentences is:  Sentence 1: 4  Sentence 2: 3."
